SEOMA0AB,"Armed Forces occupations, Male"
SEOMA15A,"Managers, Male"
SEOMA15B,"Legislators, senior officials and managers, Male"
SEOMA2AB,"Professionals, Male"
SEOMA3AB,"Technicians and associate professionals, Male"
SEOMA4AB,"Clerical support workers, Male"
SEOMA5AB,"Service and sales workers, Male"
SEOMA6AB,"Skilled agricultural, forestry and fishery workers, Male"
SEOMA7AB,"Craft and related trades workers, Male"
SEOMA8AB,"Plant and machine operators, and assemblers, Male"
SEOMA9AB,"Elementary occupations, Male"